35	 & 	5	 & 	3	 & 	23	 & 	4	 & 	696	 & 	1019	 & 	5	 & 	5	 & 	2590.0	 & 	33.0	 & 	33.0	 & 	0.01	 & 	90.0	 & 	0.0	 & 	785.2	 & 	0	 & 	0.0	 & 	2244.0	 & 	0.0	 & 	458.0	 & 	2702.0	 & 	16.2	 & 	6.0	 & 	24.6	 & 	37.0	 & 	33.58	 & 	
35	 & 	5	 & 	3	 & 	23	 & 	5	 & 	696	 & 	1055	 & 	5	 & 	5	 & 	309.8	 & 	31.0	 & 	31.0	 & 	0.00	 & 	23.8	 & 	0.0	 & 	83.9	 & 	2	 & 	13.0	 & 	973.0	 & 	0.0	 & 	99.0	 & 	1085.0	 & 	3.7	 & 	7.7	 & 	24.3	 & 	33.0	 & 	26.34	 & 	
35	 & 	5	 & 	6	 & 	11	 & 	1	 & 	552	 & 	971	 & 	4	 & 	4	 & 	762.7	 & 	22.0	 & 	22.0	 & 	0.00	 & 	19.5	 & 	0.0	 & 	111.8	 & 	6	 & 	52.0	 & 	3491.0	 & 	0.0	 & 	214.0	 & 	3757.0	 & 	9.5	 & 	2.5	 & 	15.0	 & 	23.0	 & 	34.78	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	3	 & 	828	 & 	1457	 & 	12	 & 	12	 & 	3447.8	 & 	35.0	 & 	35.0	 & 	0.00	 & 	159.2	 & 	0.0	 & 	28.2	 & 	1	 & 	209.0	 & 	1036.0	 & 	0.0	 & 	244.0	 & 	1489.0	 & 	10.7	 & 	75.0	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	4	 & 	828	 & 	1439	 & 	11	 & 	11	 & 	25.5	 & 	32.0	 & 	32.0	 & 	0.00	 & 	0.2	 & 	0.0	 & 	1.3	 & 	0	 & 	203.0	 & 	420.0	 & 	0.0	 & 	71.0	 & 	694.0	 & 	1.8	 & 	11.2	 & 	31.0	 & 	32.0	 & 	3.12	 & 	
35	 & 	5	 & 	6	 & 	11	 & 	2	 & 	552	 & 	959	 & 	5	 & 	5	 & 	144.8	 & 	21.0	 & 	21.0	 & 	0.00	 & 	31.4	 & 	0.0	 & 	18.4	 & 	3	 & 	52.0	 & 	287.0	 & 	0.0	 & 	49.0	 & 	388.0	 & 	1.8	 & 	2.3	 & 	16.0	 & 	22.0	 & 	27.27	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	2	 & 	1044	 & 	1529	 & 	13	 & 	13	 & 	7200.0	 & 	41.0	 & 	44.0	 & 	6.82	 & 	401.5	 & 	258.7	 & 	16.2	 & 	0	 & 	247.0	 & 	939.0	 & 	0.0	 & 	120.0	 & 	1306.0	 & 	9.3	 & 	247.0	 & 	39.0	 & 	44.0	 & 	11.36	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	3	 & 	1044	 & 	1529	 & 	11	 & 	12	 & 	55.4	 & 	40.0	 & 	40.0	 & 	0.00	 & 	0.6	 & 	0.0	 & 	49.6	 & 	0	 & 	189.0	 & 	380.0	 & 	0.0	 & 	41.0	 & 	610.0	 & 	2.3	 & 	43.1	 & 	37.0	 & 	41.0	 & 	9.76	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	2	 & 	756	 & 	1403	 & 	11	 & 	11	 & 	7200.0	 & 	29.5	 & 	32.0	 & 	7.81	 & 	781.0	 & 	471.6	 & 	17.3	 & 	4	 & 	189.0	 & 	761.0	 & 	0.0	 & 	47.0	 & 	997.0	 & 	6.8	 & 	19.9	 & 	29.0	 & 	32.0	 & 	9.37	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	2	 & 	1060	 & 	1840	 & 	10	 & 	10	 & 	7200.0	 & 	34.4	 & 	37.0	 & 	6.99	 & 	123.5	 & 	88.1	 & 	517.9	 & 	4	 & 	315.0	 & 	1583.0	 & 	0.0	 & 	184.0	 & 	2082.0	 & 	14.2	 & 	517.9	 & 	32.0	 & 	37.0	 & 	13.51	 & 	
50	 & 	2	 & 	6	 & 	16	 & 	2	 & 	1650	 & 	2775	 & 	19	 & 	19	 & 	7200.0	 & 	48.0	 & 	55.0	 & 	12.73	 & 	0.0	 & 	0.0	 & 	152.1	 & 	0	 & 	390.0	 & 	2938.0	 & 	0.0	 & 	0.0	 & 	3328.0	 & 	14.2	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
55	 & 	2	 & 	6	 & 	18	 & 	2	 & 	2044	 & 	3415	 & 	16	 & 	16	 & 	7200.0	 & 	48.0	 & 	57.0	 & 	15.79	 & 	0.0	 & 	0.0	 & 	6.7	 & 	0	 & 	551.0	 & 	2085.0	 & 	0.0	 & 	0.0	 & 	2636.0	 & 	12.2	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
